URL ,Apartment Name,Address,City,Units
https://www.equityapartments.com/seattle/ballard/urbana-apartments,Urbana Apartments,"1501 NW 56th Street

Seattle WA 98107",Seattle,287
https://www.equityapartments.com/seattle/redmond/redmond-court-apartments,Redmond Court Apartments,"14629 N.E. 37th Pl.

Bellevue WA 98007",Seattle,206
https://www.equityapartments.com/seattle/ballard/odin-apartments,Odin Apartments,"5398 Russell Ave NW

Seattle WA 98107",Seattle,301
https://www.equityapartments.com/seattle/redmond/bellevue-meadows-apartments,Bellevue Meadows Apartments,"4277 148th Ave. N.E.

Bellevue WA 98007",Seattle,180
https://www.equityapartments.com/seattle/admiral-district/springline-apartments,Springline Apartments,"3220 California Ave SW

Seattle WA 98116",Seattle,136
https://www.equityapartments.com/seattle/west-seattle/junction-47-apartments,Junction 47 Apartments,"4715 42nd Ave SW

Seattle WA 98116",Seattle,206
https://www.equityapartments.com/seattle/newcastle/notch-apartments,Notch Apartments,"13800 Newcastle Golf Club Rd

Newcastle WA",Seattle,159
https://www.equityapartments.com/seattle/downtown-redmond/riverpark-apartments,Riverpark Apartments,"15803 Bear Creek Pkwy

Redmond WA 98052",Seattle,321
https://www.equityapartments.com/seattle/downtown-redmond/red160-apartments,red160 Apartments,"16015 Cleveland Street

Redmond WA 98052",Seattle,250
https://www.equityapartments.com/seattle/downtown-redmond/old-town-lofts-apartments,"
Old Town Lofts Apartments","16175 Cleveland Street

Redmond WA 98052",Seattle,149
https://www.equityapartments.com/seattle/downtown-redmond/veloce-apartments,Veloce Apartments,"8102 161st Ave NE

Redmond WA 98052",Seattle,322
https://www.equityapartments.com/seattle/downtown-redmond/chelsea-square-apartments,"
Chelsea Square Apartments","16340 N.E. 83rd Street

Redmond WA 98052",Seattle,113
https://www.equityapartments.com/denver/uptown/radius-uptown-apartments,Radius Uptown Apartments,"1935 Logan St

Denver CO 80203",Denver,372
https://www.equityapartments.com/denver/uptown/skyhouse-denver-apartments,Skyhouse Denver Apartments,"1776 Broadway

Denver CO 80202",Denver,354
https://www.equityapartments.com/denver/golden-triangle/eviva-on-cherokee-apartments,Eviva on Cherokee Apartments,"1250 Cherokee St

Denver CO 80204",Denver,274
https://www.equityapartments.com/denver/central-park/circa-fitzsimons-apartments,"
Circa Fitzsimons Apartments","11700 E 26th Ave

Denver CO 80238",Denver,280
https://www.equityapartments.com/denver/westminster/the-brodie-apartments,"
The Brodie Apartments","2311 Park Centre Dr

Westminster CO 80234",Denver,312
https://www.equityapartments.com/denver/castle-rock/Venue-at-the-Promenade-Apartments,"
Venue at the Promenade Apartments","6200 Castlegate Dr.

Castle Rock CO 80108",Denver,312
